"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.190.102.221","128.135.24.73","TCP","78","57271  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=831920728 TSecr=0 SACK_PERM"
"2","0.029621","10.190.102.221","128.135.24.73","TCP","78","57272  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2955670138 TSecr=0 SACK_PERM"
"3","0.039967","10.190.102.221","128.135.24.73","TCP","78","57273  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=214873977 TSecr=0 SACK_PERM"
"4","0.182817","128.135.24.73","10.190.102.221","TCP","66","80  >  57271 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1200 SACK_PERM WS=128"
"5","0.182820","128.135.24.73","10.190.102.221","TCP","66","80  >  57272 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1200 SACK_PERM WS=128"
"6","0.182821","128.135.24.73","10.190.102.221","TCP","66","443  >  57273 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1200 SACK_PERM WS=128"
"7","0.183047","10.190.102.221","128.135.24.73","TCP","54","57271  >  80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"8","0.183078","10.190.102.221","128.135.24.73","TCP","54","57272  >  80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"9","0.183118","10.190.102.221","128.135.24.73","TCP","54","57273  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"10","0.183302","10.190.102.221","128.135.24.73","TCP","1254","57273  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1200 [TCP PDU reassembled in 11]"
"11","0.183308","10.190.102.221","128.135.24.73","TLSv1.2","653","Client Hello (SNI=www.cs.uchicago.edu)"
"12","0.282197","128.135.24.73","10.190.102.221","TCP","56","443  >  57273 [ACK] Seq=1 Ack=1800 Win=63616 Len=0"
"13","0.282198","128.135.24.73","10.190.102.221","TLSv1.2","1254","Server Hello"
"14","0.282199","128.135.24.73","10.190.102.221","TCP","1254","443  >  57273 [PSH, ACK] Seq=1201 Ack=1800 Win=64128 Len=1200 [TCP PDU reassembled in 16]"
"15","0.282200","128.135.24.73","10.190.102.221","TCP","1254","443  >  57273 [ACK] Seq=2401 Ack=1800 Win=64128 Len=1200 [TCP PDU reassembled in 16]"
"16","0.282201","128.135.24.73","10.190.102.221","TLSv1.2","226","Certificate, Server Key Exchange, Server Hello Done"
"17","0.282305","10.190.102.221","128.135.24.73","TCP","54","57273  >  443 [ACK] Seq=1800 Ack=3773 Win=258432 Len=0"
"18","0.282382","10.190.102.221","128.135.24.73","TCP","54","[TCP Window Update] 57273  >  443 [ACK] Seq=1800 Ack=3773 Win=262144 Len=0"
"19","0.285995","10.190.102.221","128.135.24.73","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"20","0.286303","10.190.102.221","128.135.24.73","TLSv1.2","153","Application Data"
"21","0.286399","10.190.102.221","128.135.24.73","TLSv1.2","1157","Application Data"
"22","0.383468","128.135.24.73","10.190.102.221","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"23","0.383470","128.135.24.73","10.190.102.221","TLSv1.2","123","Application Data"
"24","0.383471","128.135.24.73","10.190.102.221","TCP","56","443  >  57273 [ACK] Seq=4116 Ack=3095 Win=64128 Len=0"
"25","0.383473","128.135.24.73","10.190.102.221","TLSv1.2","183","Application Data"
"26","0.383475","128.135.24.73","10.190.102.221","TLSv1.2","270","Application Data"
"27","0.383598","10.190.102.221","128.135.24.73","TCP","54","57273  >  443 [ACK] Seq=3095 Ack=4116 Win=261824 Len=0"
